near_fid,near_x,near_y,near_angle,heard,building,xcoor,ycoor,noise,in_vehicle,asleep,no_windows,age
625,1890860.2915,8132154.5798,-112.01782755,0,0,1903959.0,8164546,0,0,0,0,46
2556,1617475.8748,8623481.5046,37.644115286,0,0,1527309.0,8553933,1,0,0,0,71
2405,1831306.9244,8310711.7459,39.383296799,0,0,1824242.0,8304912,0,0,0,0,39
3925,2460682.7237,9770380.2056,140.94419512,1,0,2461664.0,9769584,0,0,0,0,78
2679,1918832.7644,8553614.7223,39.359349345,0,0,1916869.0,8552004,1,1,0,0,38
439,2018057.7266,8211367.9736,18.931223414,1,1,2017533.0,8211188,0,0,0,0,78
2407,1833232.4174,8315038.048,9.9262422887,0,1,1832455.0,8314902,0,0,1,1,20
976,1634984.093,7891514.8832,46.711624542,1,0,1632926.0,7889330,0,0,0,0,44
1343,1734601.9015,7590121.7972,94.036805694,1,0,1734728.0,7588335,0,0,0,0,29
1844,1338299.9501,7911543.8401,-134.57642947,1,0,1338643.0,7911892,0,0,0,0,19
594,1899983.2578,8317942.8127,110.05626755,1,0,1900096.0,8317634,0,0,0,0,33
2853,2260649.9477,9303791.1731,135.63724042,1,0,2261099.0,9303352,0,0,0,0,27
584,1901474.7163,8318546.8036,80.282253003,1,0,1901260.0,8317293,0,1,0,0,69
794,1800375.3567,8107811.9216,-53.627886155,0,0,1797279.0,8112016,1,0,0,0,82
1928,1327257.3907,7915745.8335,-60.766232915,1,0,1327156.0,7915927,0,0,0,0,39
229,1988668.2677,8260056.7445,15.214385638,1,0,1988000.0,8259875,0,0,0,0,58
319,2035056.3241,8242485.327,-72.216523365,1,0,2034855.0,8243113,0,0,0,0,75
211,2000884.3574,8251512.3043,-50.812169393,1,0,2000199.0,8252353,0,0,0,0,75
112,2011894.0777,8248539.2459,-135.92089269,1,0,2011931.0,8248575,0,0,0,0,59
2449,1844259.2809,8315186.3957,93.033176163,1,1,1844277.0,8314852,0,0,0,0,46
1272,1833273.1605,7811875.7757,27.168171726,1,1,1832956.0,7811713,0,0,0,0,63
451,2029022.1398,8231812.9011,-174.9534152,1,0,2030552.0,8231948,0,1,0,0,61
281,2005322.8881,8256188.0045,75.129972444,1,0,2005235.0,8255857,0,0,0,0,53
1348,1736375.4437,7590127.3942,-77.717014705,1,1,1736342.0,7590281,1,0,0,0,48
3005,2378568.2352,9702387.0593,-63.180494604,0,0,2368685.0,9721936,0,1,0,0,39
624,1891760.8662,8128669.0332,135.97513737,1,0,1891973.0,8128464,0,0,0,0,37
264,2004135.2205,8255782.3111,-23.95234024,1,0,2003778.0,8255941,0,0,0,0,53
2862,2261591.5992,9299814.0138,33.147375776,1,1,2260509.0,9299107,0,0,0,0,52
3800,1676423.998,8193052.996,19.558495558,0,0,1655164.0,8185500,1,1,0,0,40
2482,1845915.2698,8314278.0885,-157.27633251,1,0,1846044.0,8314332,0,0,0,0,82
4053,1998041.1464,8279344.0583,-49.508612504,1,0,1997137.0,8280403,0,0,0,0,28
1177,1809771.1669,7785909.1404,-27.989423448,0,0,1772206.0,7805874,1,0,0,0,63
136,2008172.6671,8245433.9375,153.1979535,1,0,2008804.0,8245115,1,0,0,0,23
246,1999034.7841,8268168.3657,-30.737595975,0,1,1998916.0,8268239,0,0,0,0,61
2003,1339570.2169,7892866.1612,120.0427166,1,0,1340070.0,7892002,0,0,0,0,73
2847,2256251.3807,9307763.9956,99.935632965,1,0,2256350.0,9307201,0,0,0,0,65
56,2014096.9791,8252911.6492,-98.485730338,1,0,2014140.0,8253200,1,0,0,0,66
2396,1711421.2874,8280950.6639,-157.11697528,1,0,1711768.0,8281097,1,0,0,0,72
168,2014065.1417,8232596.0083,-120.33088556,1,0,2014243.0,8232900,0,0,0,0,39
3736,1442218.476,7904965.4336,112.39687251,0,0,1459591.0,7862810,0,0,0,0,76
2644,1761172.9734,8712366.2585,-48.570842241,1,0,1760739.0,8712858,0,0,0,0,38
3513,1465888.6732,7434666.1056,-163.98604081,1,1,1466066.0,7434717,0,0,0,0,77
681,1837902.4928,8259967.3912,-9.7841836065,1,0,1837696.0,8260003,1,0,0,0,62
673,1804511.655,8180293.2985,118.03963746,1,0,1804956.0,8179459,0,0,0,0,65
1644,1434098.1645,7692829.7621,49.490532382,1,0,1433684.0,7692345,0,0,0,0,54
3925,2460682.7237,9770380.2056,145.20308385,1,0,2461273.0,9769970,0,0,0,0,28
1176,1829667.856,7755076.3755,141.86402377,0,0,1854601.0,7735501,0,0,0,0,82
1563,1466803.1629,7495777.3034,89.07725777,0,0,1466778.0,7494215,0,0,0,0,65
449,2027088.1863,8231746.0861,-79.135169549,0,0,2026660.0,8233977,1,1,0,0,70
170,2006760.3567,8240001.0854,141.14312389,1,1,2007427.0,8239464,0,0,0,0,35
2722,1930989.7435,8954380.9954,-25.749829479,1,0,1930063.0,8954828,0,0,0,0,81
3394,1447558.1379,7534882.5722,-13.028411223,0,0,1442340.0,7536090,0,0,0,0,72
671,1799512.1854,8179817.383,-17.050134677,0,0,1766607.0,8189909,0,0,0,0,65
2870,2261554.8638,9311951.7182,-59.027532002,0,0,2260119.0,9314344,0,1,0,0,86
2722,1930989.7435,8954380.9954,-93.006429086,1,0,1930993.0,8954443,0,0,0,0,23
3437,1418837.932,7563462.7839,-163.4313409,1,0,1419605.0,7563691,0,0,0,0,20
1801,1326693.2236,7894477.1124,-104.35819713,1,1,1326824.0,7894988,0,0,0,0,43
3555,1575227.679,7565074.6992,67.176619175,1,0,1575155.0,7564902,0,0,0,0,66
2441,1842483.9577,8313408.8416,164.68173503,0,0,1842801.0,8313322,1,0,0,0,85
2286,1499584.4152,8262882.7489,130.48538279,1,0,1499842.0,8262581,0,0,0,0,66
2782,1922167.4512,9141477.119,-0.94648852708,1,0,1919814.0,9141516,0,0,0,0,23
950,1636241.558,7894411.9937,-44.621450943,0,0,1635971.0,7894679,1,0,0,0,80
261,1996741.4912,8262667.0405,-119.96592197,1,0,1997540.0,8264052,0,0,0,0,46
42,2011085.2303,8254680.8498,16.771159902,1,0,2010734.0,8254575,0,0,0,0,82
299,2022071.3508,8247695.5655,164.24279807,1,0,2022729.0,8247510,1,0,0,0,62
2732,1920911.4334,8955261.1558,32.243705946,1,0,1920220.0,8954825,0,0,0,0,24
263,2006126.3922,8259161.9476,-78.408144945,0,0,2006015.0,8259705,1,0,0,0,75
683,1838968.8222,8259724.46,160.78138183,0,1,1840436.0,8259213,0,0,0,0,82
64,2012233.8247,8252779.6037,-57.589355398,0,0,2012012.0,8253129,0,0,0,0,40
1001,1559394.2626,7796980.3744,6.297246423,0,0,1538322.0,7794655,1,1,0,0,73
2613,1805391.6355,8428381.7244,-22.32993231,1,0,1804831.0,8428612,0,0,0,0,61
2857,2263288.6649,9309547.4658,146.89022006,1,0,2263639.0,9309319,0,0,0,0,21
2811,1630410.643,9144622.9501,75.470877114,1,0,1630286.0,9144142,0,0,0,0,54
3968,2010926.8227,8287615.4243,-130.75203652,1,0,2010948.0,8287640,1,1,0,0,29
4001,2013402.2341,8298486.9404,-129.63354492,0,0,2034122.0,8323503,0,0,0,0,83
2421,1838349.218,8309356.4192,37.940994789,1,0,1837674.0,8308830,0,0,0,0,34
3769,1693042.1055,8238713.9652,-29.774365361,1,1,1692661.0,8238932,0,0,0,0,61
2724,1931729.0161,8949276.3623,67.455374739,1,0,1931513.0,8948756,0,0,0,0,29
2733,1918022.0247,8958021.756,35.790265301,0,0,1896479.0,8942490,1,1,0,0,25
2733,1918022.0247,8958021.756,30.071751593,0,0,1892298.0,8943127,0,0,0,0,32
336,1962665.9272,8223713.9605,-9.5222657342,1,0,1962153.0,8223800,0,0,0,0,51
777,1798502.8514,8089309.115,-10.98500025,1,1,1798081.0,8089391,0,0,0,0,54
3850,1903866.9721,8795213.6899,-90.829738865,1,0,1903875.0,8795768,0,0,0,0,44
2227,1572057.7451,8119980.1863,-98.244109097,0,0,1577255.0,8155851,0,0,0,0,86
2829,2199852.1399,9328554.9188,-81.257954583,0,0,2184519.0,9428268,0,0,0,0,65
4096,1988178.9074,8271258.0518,159.26871331,1,0,1989508.0,8270755,1,0,0,0,47
3023,2415357.9911,9831509.7337,90.561842148,1,0,2415365.0,9830795,0,1,0,0,75
4019,1991948.7419,8293575.1043,86.401297712,1,0,1991921.0,8293134,1,0,0,0,47
3996,2039579.3464,8268157.8677,-73.873756541,0,0,2039106.0,8269795,0,0,0,0,54
2854,2262619.6347,9307462.0819,138.99427177,1,0,2262798.0,9307307,0,0,0,0,40
1833,1330628.2562,7904784.3907,-167.70498107,1,0,1330966.0,7904858,0,0,0,0,18
676,1834677.5672,8261840.5441,-25.333723149,1,0,1834590.0,8261882,0,0,0,0,27
3293,1520592.5182,7529390.4475,-93.955148313,0,0,1520618.0,7529759,0,0,0,0,29
30,2011233.1738,8252696.0124,-173.8950153,1,1,2011392.0,8252713,0,0,0,0,62
1465,1453121.1069,7482286.7428,-149.06762071,1,0,1453764.0,7482672,0,0,0,0,64
550,1961938.6768,8368290.3226,165.1082492,0,1,1962519.0,8368136,0,0,0,0,57
4094,2049020.9089,8250049.9525,144.62103651,1,0,2097840.0,8215383,0,0,0,0,21
1513,1446971.5956,7481384.3985,-43.627451017,0,1,1446117.0,7482199,0,0,0,1,64
2699,1869226.7957,8539642.9537,-55.850620276,1,0,1868250.0,8541083,0,0,0,0,76
3543,1448958.3145,7454361.9339,34.067699177,1,1,1448778.0,7454240,0,0,0,0,43
3234,1702546.341,7607725.8949,-173.84350041,1,0,1707331.0,7608242,0,0,0,0,48
2816,1632661.6344,9142104.5466,81.858146528,1,1,1632379.0,9140129,0,0,0,0,71
2614,1809382.3279,8426189.446,33.281304612,1,0,1809112.0,8426012,0,0,0,0,57
3254,1477176.2469,7488548.105,-169.06324884,1,0,1479520.0,7489001,0,0,0,0,32
409,2004191.3255,8233749.925,48.955157249,1,0,2003743.0,8233235,0,0,0,0,69
3771,1696447.0347,8236592.9261,23.777497301,1,1,1695503.0,8236177,0,0,0,0,65
191,1994623.3039,8242196.5457,107.32943833,1,1,1994772.0,8241720,1,0,0,0,35
3012,2416263.6865,9830225.306,-21.430327475,1,0,2415946.0,9830350,0,0,0,0,64
2891,2332902.1972,9544927.999,2.2165101204,1,0,2332463.0,9544911,0,0,0,0,41
2182,1541167.9223,8049530.7367,-122.38354787,0,0,1541463.0,8049996,0,1,0,0,44
230,1983277.3988,8265716.6091,75.630529819,1,0,1983143.0,8265192,0,0,0,0,49
221,1990484.2227,8258627.2181,82.158232127,1,1,1990359.0,8257718,0,0,0,0,39
3359,1430302.1697,7641885.0402,79.640334808,1,0,1429751.0,7638870,0,1,0,0,28
3754,1493117.8661,7925643.5119,10.39613933,1,0,1491191.0,7925290,0,0,0,0,22
1480,1454178.976,7475636.3491,-120.15037842,1,1,1454360.0,7475948,0,0,0,0,27
125,2014452.6448,8247883.575,-52.165308384,1,0,2014210.0,8248196,0,0,0,0,23
2810,1629379.4906,9144429.2712,-70.191297857,1,0,1629327.0,9144575,0,0,0,0,31
2998,2392563.7669,9684198.915,-125.66534503,1,0,2393148.0,9685013,0,0,0,0,50
2835,2257056.777,9306970.1115,90.787807779,1,1,2257061.0,9306663,0,0,0,0,54
2721,1928906.9557,8954624.3925,38.432035913,1,0,1928265.0,8954115,0,0,0,0,20
3289,1525758.0766,7487454.88,-45.087883503,1,0,1525093.0,7488122,0,0,0,0,51
263,2006126.3922,8259161.9476,86.744872172,1,0,2006071.0,8258188,0,0,0,0,23
3775,1695435.9197,8245220.4804,118.05661252,1,0,1695999.0,8244164,0,0,0,0,37
2776,1983681.4887,9078051.1524,144.5998493,0,0,2004821.0,9063028,1,0,0,0,88
301,2017955.09,8246273.6535,-6.8255350248,0,1,2016958.0,8246393,0,0,0,0,39
3893,2072063.0416,9172530.7692,24.942334306,0,0,2026906.0,9151529,1,0,0,0,72
4022,1994136.7264,8298690.2984,-40.363174114,0,0,1993750.0,8299019,1,0,0,0,71
469,2080258.9391,8343497.7523,77.782653816,0,0,2074305.0,8316000,1,1,0,0,37
1869,1324603.2001,7898331.1435,122.80047603,1,0,1325115.0,7897537,0,0,0,0,59
1606,1449252.6433,7510914.0523,35.350336506,1,0,1448996.0,7510732,0,0,0,0,20
2820,1626243.9545,9144236.3377,60.656694746,1,0,1624469.0,9141079,0,0,0,0,43
1910,1344292.7237,7909094.7654,38.789050893,1,0,1343325.0,7908317,1,0,0,0,26
7,2010306.3279,8254217.1713,-161.49802656,1,0,2010515.0,8254287,0,0,0,0,24
2610,1802136.8763,8430066.4905,168.54700431,1,0,1802855.0,8429921,0,0,0,0,43
4076,1983472.9872,8278698.5787,-146.3795506,0,1,1984188.0,8279174,1,0,0,1,65
1575,1471147.8512,7503183.6481,-172.4247665,1,1,1471925.0,7503287,0,0,0,0,44
1668,1431810.1035,7698740.9135,80.838938863,0,0,1431729.0,7698238,0,1,0,0,74
1038,1667252.7191,7898686.4709,8.9885007299,1,0,1666921.0,7898634,0,0,0,0,41
2864,2262322.6344,9310467.1477,113.98432413,1,0,2262615.0,9309810,0,0,0,0,42
1611,1459630.6254,7517764.0216,-137.19880001,1,1,1459947.0,7518057,0,0,0,0,30
490,1951126.4375,8303245.5775,19.957733404,0,0,1950329.0,8302956,1,1,0,0,51
537,1961390.5398,8361322.5406,-150.12714628,1,0,1963094.0,8362301,0,0,0,0,28
369,1940111.1512,8190195.0072,-61.568504831,1,1,1939475.0,8191370,0,0,0,0,18
2351,1621559.6302,8251535.6538,-86.863819535,1,0,1621468.0,8253208,0,0,0,0,43
1522,1447211.3778,7478507.9679,-161.91479358,1,0,1447582.0,7478629,0,0,0,0,35
280,2007442.4113,8256940.9324,77.676271586,1,0,2007312.0,8256344,0,0,0,0,49
303,2023577.7261,8247720.4296,-5.6811180591,1,0,2023381.0,8247740,0,0,0,0,25
1099,1644792.008,7738086.9692,151.47131082,1,1,1645445.0,7737732,0,0,0,0,52
391,1985036.2467,8230781.1454,-164.00069557,1,0,1985524.0,8230921,0,0,0,0,20
3850,1903866.9721,8795213.6899,168.04722629,1,0,1904182.0,8795147,0,0,0,0,54
3714,1440991.9578,7909687.8326,-93.074935263,1,0,1441017.0,7910154,0,0,0,0,51
2166,1457673.2948,8072142.394,19.14880081,0,0,1418065.0,8058389,1,1,0,0,25
1120,1646462.8023,7742434.4579,-106.10088755,1,0,1649878.0,7754266,0,0,0,0,32
3101,1347733.0524,7832120.5318,-34.287406026,0,0,1335923.0,7840173,0,0,0,0,63
533,1959671.5442,8364551.7862,-115.5610899,1,0,1959785.0,8364789,0,0,0,0,39
1842,1338757.2507,7913104.349,113.54832684,0,1,1338991.0,7912568,1,0,0,1,55
2385,1576023.502,8335223.2669,-18.34394933,0,0,1548941.0,8344203,1,0,0,0,29
766,1801783.4369,8093233.2654,-150.95787204,1,1,1802253.0,8093494,0,0,0,0,78
275,2003407.9702,8262842.5353,-129.05622407,1,0,2003853.0,8263391,0,0,0,0,44
2751,1933262.7762,8942390.7364,81.426618031,1,1,1933111.0,8941384,0,0,0,0,31
160,2013717.9363,8237848.3128,-15.334726509,1,0,2013307.0,8237961,0,0,0,0,46
362,1966736.7696,8221551.9961,-42.93264229,1,0,1966367.0,8221896,0,0,0,0,21
766,1801783.4369,8093233.2654,-126.46630953,1,1,1802002.0,8093529,0,0,0,0,31
588,1900991.1443,8322154.8219,-60.093004181,0,0,1885029.0,8349906,1,0,0,0,44
2088,1342299.2142,7864399.2528,105.81329426,1,1,1342348.0,7864227,0,0,0,0,25
404,2005311.9788,8234592.4564,-23.322029783,1,0,2004144.0,8235096,0,0,0,0,29
1512,1445985.9727,7480848.5214,-42.957796445,0,0,1445122.0,7481653,1,0,0,0,59
4067,1986817.3586,8269319.9566,154.51837586,1,0,1987751.0,8268875,0,0,0,0,53
2292,1503442.1922,8262369.8233,151.73539798,1,0,1504383.0,8261864,0,0,0,0,55
4044,2002902.5797,8273660.8649,-134.93955475,1,0,2003241.0,8274000,0,0,0,0,66
2842,2258851.5813,9305108.5553,-29.905889503,1,1,2258171.0,9305500,0,0,0,0,75
1725,1315682.2788,7984725.9052,-27.689098072,0,1,1297274.0,7994386,1,0,0,0,81
2044,1343612.0051,7926277.7869,177.46762679,1,1,1344489.0,7926239,0,0,0,0,64
1452,1448019.446,7473355.061,67.80605099,1,0,1447875.0,7473001,1,0,0,0,39
2673,1908934.4581,8547806.039,37.771109129,0,0,1907831.0,8546951,1,1,0,0,73
253,2000449.7661,8258015.2101,151.5872559,0,1,2001306.0,8257552,0,0,0,0,52
74,2008209.0685,8251779.1896,-143.35329886,0,1,2008479.0,8251980,1,0,0,1,63
2637,1813776.3308,8520343.717,34.200071234,0,0,1784926.0,8500737,1,1,0,0,21
2494,1807668.5644,8316078.7449,31.127784795,1,0,1807308.0,8315861,0,0,0,0,47
2782,1922167.4512,9141477.119,172.06776204,1,1,1922886.0,9141377,0,0,0,0,77
1829,1331137.7654,7905290.8634,99.717242103,1,0,1331216.0,7904834,0,0,0,0,38
2719,1927069.6275,8950614.7985,-85.670071628,1,0,1927026.0,8951191,0,1,0,0,20
479,1981447.6403,8338054.2875,-48.206964005,1,0,1981009.0,8338545,0,0,0,0,72
2763,1935163.2225,8985201.872,-149.90327276,0,0,1958419.0,8998681,1,1,0,0,64
2712,1998301.4112,9011692.1615,-64.652388379,1,1,1998085.0,9012149,0,0,0,0,72
1941,1337348.7252,7910559.0693,59.522409893,1,1,1337271.0,7910427,0,0,0,0,79
3866,1899788.3373,8774915.1176,26.869135995,0,0,1866572.0,8758086,1,0,0,0,73
2181,1545140.6922,8051135.4592,130.35539973,1,0,1545396.0,8050835,0,0,0,0,33
2781,1978306.5382,9105495.497,147.90840892,1,0,1985807.0,9100792,0,0,0,0,69
1833,1330628.2562,7904784.3907,97.273255527,1,0,1330662.0,7904520,1,0,0,0,75
2728,1930104.8648,8949746.0113,100.55387568,1,0,1930182.0,8949332,0,0,0,0,30
2875,2079179.5855,9502560.849,91.562919913,1,0,2079201.0,9501776,1,0,0,0,53
2737,1934971.1963,8959612.5983,173.53481432,1,1,1939477.0,8959102,0,0,0,0,44
3254,1477176.2469,7488548.105,-168.61323968,0,0,1487603.0,7490648,1,1,0,0,86
2823,1641133.6043,9139084.0768,40.178248238,1,1,1640751.0,9138761,1,0,0,0,58
2776,1983681.4887,9078051.1524,-165.10497787,0,1,1995768.0,9081266,0,0,1,0,47
64,2012233.8247,8252779.6037,136.5164721,1,0,2012400.0,8252622,0,0,0,0,71
1870,1322007.0068,7897697.9649,42.330757662,1,0,1321131.0,7896900,0,0,0,0,46
246,1999034.7841,8268168.3657,-35.341507135,1,1,1998883.0,8268276,0,0,0,0,80
3696,1327402.3286,7939637.9591,174.92492756,1,0,1328663.0,7939526,0,0,0,0,56
724,1739079.2829,8055310.8354,62.383102452,1,0,1738800.0,8054777,0,0,0,0,60
22,2011554.2194,8250627.4838,149.94205051,1,0,2011638.0,8250579,0,0,0,0,50
4013,1973394.7885,8315271.1357,-175.65903891,1,0,1975290.0,8315415,0,0,0,0,28
3982,2006297.6015,8268440.2255,23.157559618,1,1,2003225.0,8267126,0,0,0,0,58
3723,1439736.4966,7908436.0881,-50.600656567,1,1,1439684.0,7908500,0,0,0,0,27
3104,1935571.0971,8131443.5979,-123.78085537,0,0,1954345.0,8159508,1,0,0,0,88
1575,1471147.8512,7503183.6481,-155.70671174,1,0,1473353.0,7504179,0,0,0,0,20
862,1574840.2871,7920310.692,-146.92825394,1,0,1575088.0,7920472,0,0,0,0,69
2239,1508750.796,8006089.9819,-136.43560842,1,0,1511720.0,8008914,0,0,0,0,48
448,2029333.6118,8233941.9353,143.4889853,1,0,2030602.0,8233003,0,0,0,0,66
327,2016769.2035,8248156.0008,-63.511661016,1,1,2016532.0,8248632,0,0,0,0,64
4087,1975507.6324,8284267.0609,-167.78691183,1,0,1976071.0,8284389,0,0,0,0,25
802,1816539.7259,8069410.4193,12.107554478,1,0,1816328.0,8069365,0,0,0,0,42
2058,1345428.4051,7880284.1143,-140.18171201,1,1,1346022.0,7880779,0,0,0,0,42
3412,1417432.1895,7563740.2779,-164.02674995,1,0,1417550.0,7563774,0,0,0,0,39
1096,1647804.9814,7735529.7033,54.193265979,1,0,1647684.0,7735362,1,0,0,0,32
2284,1504766.0035,8263180.8609,155.45351924,1,1,1505081.0,8263037,0,0,0,0,37
3951,2452616.6247,9779979.3915,-128.23101852,1,0,2460566.0,9790070,0,0,0,0,81
2058,1345428.4051,7880284.1143,95.502080023,1,0,1345497.0,7879572,0,0,0,0,56
2433,1841324.2312,8313737.823,171.62270725,0,1,1841778.0,8313671,0,0,0,1,34
2779,1982914.3859,9085428.3375,-161.07731623,0,0,2036096.0,9103660,1,0,0,0,78
223,1989154.8453,8260591.1401,-52.091715693,1,0,1987895.0,8262209,0,0,0,0,39
238,1995946.4474,8265381.447,16.04446371,1,0,1994707.0,8265025,0,1,0,0,35
2718,1924029.2697,8951288.4328,-32.364718259,1,1,1923170.0,8951833,0,0,0,0,26
12,2009766.7622,8261433.23,75.919383067,1,0,2009552.0,8260577,0,0,0,0,63
1446,1447469.7502,7474730.6454,-116.60062879,0,0,1447839.0,7475468,1,1,0,0,66
273,2004490.8863,8262414.4052,-91.279822011,1,1,2004514.0,8263449,0,0,0,0,34
3029,2412855.3063,9822463.9468,161.70182417,0,0,2414975.0,9821763,1,0,0,0,51
2724,1931729.0161,8949276.3623,2.3924694714,1,0,1931481.0,8949266,0,0,0,0,47
263,2006126.3922,8259161.9476,-75.635326277,1,0,2006016.0,8259593,1,0,0,0,39
870,1584240.7729,7923217.0036,66.193346124,0,1,1584044.0,7922771,0,0,0,0,75
30,2011233.1738,8252696.0124,-133.59492171,1,0,2011475.0,8252950,0,1,0,0,44
3959,2480107.8634,9835976.3431,107.39387283,0,0,2489197.0,9806962,1,1,0,0,85
2799,1499751.3945,9185286.258,151.10051984,0,0,1538122.0,9164105,0,0,0,0,65
4038,2003799.9262,8274162.0962,-78.037137405,1,0,2003594.0,8275134,0,0,0,0,31
1599,1481549.0992,7526385.0557,-57.894355146,1,0,1481418.0,7526594,0,0,0,0,41
3782,1689152.2686,8239254.8856,-174.89942803,1,1,1689949.0,8239326,0,0,0,0,35
4119,1366143.8492,8071401.9553,-29.198605524,1,0,1335878.0,8088316,0,0,0,0,73
